unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
578;CVU;RER;10;65;8;0,7;1,7;
420;CVU;JPK-87;8;47;8;0,7;1,2;
110;CVU;RHE;10;11;8;0,4;4,3;
13;CVU;STR;3;2;8;1;1;
336;CVU;OMA;2;38;8;1,1;1,3;
495;CVU;JPK-132;5;56;8;1,1;3,2;
266;CVU;MEB;10;29;8;0,6;1,2;
188;CVU;MEV;10;20;8;0,4;2;
106;CVU;RHE;6;11;8;1,5;2,7;
15;CVU;STR;5;2;8;1;1,2;
648;CVU;MGK;2;74;8;0,5;2,5;
335;CVU;OMA;1;38;8;0,5;2,1;
570;CVU;RER;2;65;8;0,2;3,5;
421;CVU;JPK-87;9;47;8;0,3;0,6;
342;CVU;OMA;8;38;8;0,6;0,9;
708;GSH;MGK;1;81;1;2,8;4,2;
636;GSH;RER;7;72;1;1,4;5,8;
240;GSH;MEV;1;27;1;3;5,8;
478;GSH;JPK-87;5;54;1;3,8;4,1;
81;GSH;STR;1;9;1;0,5;2,6;
558;GSH;JPK-132;7;63;1;2;5,7;
402;GSH;OMA;7;45;1;3,4;5,4;
318;GSH;MEB;1;36;3;;;*
321;GSH;MEB;4;36;1;2,3;4,1;
90;GSH;STR;10;9;1;0,9;2,2;
401;GSH;OMA;6;45;2;2,2;4,5;
556;GSH;JPK-132;5;63;2;2,1;7;
711;GSH;MGK;4;81;2;1;2,3;
634;GSH;RER;5;72;2;2,1;6;
87;GSH;STR;7;9;2;0,8;0,9;
479;GSH;JPK-87;6;54;2;0,6;2,5;
322;GSH;MEB;5;36;2;1,5;4,2;
167;GSH;RHE;6;18;2;0,6;3,1;
246;GSH;MEV;7;27;2;0,7;2,5;
242;GSH;MEV;3;27;3;2,2;5,3;
89;GSH;STR;9;9;3;0,6;1;
712;GSH;MGK;5;81;3;1,6;4,6;
396;GSH;OMA;1;45;3;0,7;3,4;
709;GSH;MGK;2;81;5;;;*
552;GSH;JPK-132;1;63;3;0,7;4,4;
480;GSH;JPK-87;7;54;3;2;1,4;
162;GSH;RHE;1;18;3;0,5;5,4;
84;GSH;STR;4;9;3;0,7;4,5;
714;GSH;MGK;7;81;4;0,7;3,3;
241;GSH;MEV;2;27;4;1,9;6,1;
324;GSH;MEB;7;36;4;0,6;3,6;
633;GSH;RER;4;72;4;1,2;2,7;
163;GSH;RHE;2;18;4;1,5;2,6;
88;GSH;STR;8;9;4;1,5;2,9;
553;GSH;JPK-132;2;63;4;1,2;5,6;
474;GSH;JPK-87;1;54;4;0,8;3;
400;GSH;OMA;5;45;4;1,2;4,3;
631;GSH;RER;2;72;5;0,9;2,5;
166;GSH;RHE;5;18;1;;;*
85;GSH;STR;5;9;5;1,1;2,9;
397;GSH;OMA;2;45;5;2,5;4,5;
475;GSH;JPK-87;2;54;5;3,9;5;
320;GSH;MEB;3;36;5;1,8;3,1;
245;GSH;MEV;6;27;5;0,6;4,2;
557;GSH;JPK-132;6;63;5;2;7,7;
164;GSH;RHE;3;18;5;0,9;1,9;
86;GSH;STR;6;9;6;2,2;5;
323;GSH;MEB;6;36;6;3;6,8;
398;GSH;OMA;3;45;6;1,2;3,3;
476;GSH;JPK-87;3;54;6;2,5;3,9;
713;GSH;MGK;6;81;6;2;2,5;
555;GSH;JPK-132;4;63;6;0,7;3,2;
243;GSH;MEV;4;27;6;1,5;5,1;
630;GSH;RER;1;72;6;1,8;5,6;
165;GSH;RHE;4;18;6;0,5;2;
82;GSH;STR;2;9;7;0,8;4,5;
168;GSH;RHE;7;18;7;1,1;2,3;
710;GSH;MGK;3;81;7;1,5;3,1;
244;GSH;MEV;5;27;7;0,8;4,1;
399;GSH;OMA;4;45;7;0,6;2,6;
477;GSH;JPK-87;4;54;7;3,3;5,5;
635;GSH;RER;6;72;7;1,9;6,1;
554;GSH;JPK-132;3;63;7;1,3;4,4;
319;GSH;MEB;2;36;7;1,5;3,8;
83;GSH;STR;3;9;8;1,2;3,1;
