unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
602;VMY;RER;4;68;1;0,4;2,4;
140;VMY;RHE;10;14;1;1,9;3,7;
370;VMY;OMA;6;41;1;1;2,8;
681;VMY;MGK;5;77;1;2,5;2,7;
213;VMY;MEV;5;23;1;1,4;3,3;
42;VMY;STR;2;5;1;1;2,5;
452;VMY;JPK-87;10;50;1;2;1,9;
296;VMY;MEB;10;32;1;1,3;3,4;
49;VMY;STR;9;5;1;0,8;3;
217;VMY;MEV;9;23;1;1,6;4;
451;VMY;JPK-87;9;50;2;1,3;2,5;
218;VMY;MEV;10;23;2;2,3;3,5;
604;VMY;RER;6;68;2;0,8;1,5;
374;VMY;OMA;10;41;2;1,6;3,1;
41;VMY;STR;1;5;2;1,1;1,8;
521;VMY;JPK-132;1;59;2;0,6;2,4;
294;VMY;MEB;8;32;2;1,6;3,5;
135;VMY;RHE;5;14;2;0,6;1,5;
685;VMY;MGK;9;77;2;0,5;2,6;
603;VMY;RER;5;68;2;0,8;2,5;
367;VMY;OMA;3;41;2;1,1;3,9;
600;VMY;RER;2;68;3;1;2,1;
288;VMY;MEB;2;32;3;1,1;1,7;
47;VMY;STR;7;5;3;1,5;1,6;
212;VMY;MEV;4;23;3;2;3,5;
447;VMY;JPK-87;5;50;3;0,9;2,3;
133;VMY;RHE;3;14;3;1,1;1,2;
366;VMY;OMA;2;41;3;1,4;2,8;
524;VMY;JPK-132;4;59;3;;;*
679;VMY;MGK;3;77;3;0,6;3,2;
138;VMY;RHE;8;14;3;1;2,3;
46;VMY;STR;6;5;4;2;2,4;
526;VMY;JPK-132;6;59;4;2;2,6;
448;VMY;JPK-87;6;50;4;1;2,1;
677;VMY;MGK;1;77;4;0,7;1,7;
287;VMY;MEB;1;32;4;1,4;1,4;
606;VMY;RER;8;68;4;1,6;2,5;
137;VMY;RHE;7;14;4;1,6;2,1;
368;VMY;OMA;4;41;4;1,8;2,1;
214;VMY;MEV;6;23;4;1,1;3,6;
373;VMY;OMA;9;41;5;1,1;1,9;
43;VMY;STR;3;5;5;1,2;3;
608;VMY;RER;10;68;5;0,9;1,5;
686;VMY;MGK;10;77;5;0,8;2,5;
215;VMY;MEV;7;23;5;1,5;2;
290;VMY;MEB;4;32;5;1,9;3,2;
445;VMY;JPK-87;3;50;5;1;1,5;
527;VMY;JPK-132;7;59;5;1,1;3,7;
683;VMY;MGK;7;77;6;;1,1;
295;VMY;MEB;9;32;5;1,2;2,6;
446;VMY;JPK-87;4;50;5;1,1;1,2;
525;VMY;JPK-132;5;59;5;1;4;
209;VMY;MEV;1;23;6;1,1;2,3;
291;VMY;MEB;5;32;6;1,9;2,4;
48;VMY;STR;8;5;6;1,4;2;
450;VMY;JPK-87;8;50;6;1,2;1,2;
131;VMY;RHE;1;14;5;;2;
372;VMY;OMA;8;41;6;2;3;
134;VMY;RHE;4;14;6;1,1;1,1;
607;VMY;RER;9;68;6;1;2,8;
522;VMY;JPK-132;2;59;6;1,1;4,1;
682;VMY;MGK;6;77;6;0,6;3,5;
216;VMY;MEV;8;23;6;1,6;4;
599;VMY;RER;1;68;7;0,7;2,2;
132;VMY;RHE;2;14;7;2,6;3,1;
211;VMY;MEV;3;23;7;1,5;3;
369;VMY;OMA;5;41;7;2;3,4;
289;VMY;MEB;3;32;7;1,8;2,9;
443;VMY;JPK-87;1;50;7;2,8;3,1;
528;VMY;JPK-132;8;59;7;1,4;4,8;
684;VMY;MGK;8;77;7;0,7;2,5;
50;VMY;STR;10;5;7;1,8;2,7;
605;VMY;RER;7;68;7;0,6;2;
601;VMY;RER;3;68;8;0,7;2,6;
444;VMY;JPK-87;2;50;8;0,9;2,1;
530;VMY;JPK-132;10;59;8;1,1;3;
293;VMY;MEB;7;32;8;1,2;2;
44;VMY;STR;4;5;8;1;2,8;
136;VMY;RHE;6;14;8;1,2;2,2;
680;VMY;MGK;4;77;8;0,7;3,8;
210;VMY;MEV;2;23;8;1,4;2,5;
371;VMY;OMA;7;41;8;0,9;1,4;
529;VMY;JPK-132;9;59;8;1,4;4,7;
678;VMY;MGK;2;77;8;0,6;1,7;
292;VMY;MEB;6;32;8;1;1,8;
449;VMY;JPK-87;7;50;8;1,6;2;
139;VMY;RHE;9;14;8;1,5;1,6;
45;VMY;STR;5;5;8;0,9;1,8;
365;VMY;OMA;1;41;8;1;1,7;
238;VVI;MEV;6;26;1;3,5;5,3;
468;VVI;JPK-87;2;53;1;1;1;
317;VVI;MEB;7;35;1;0,5;2,5;
551;VVI;JPK-132;7;62;1;2,2;3,6;
701;VVI;MGK;1;80;1;3,8;4,6;
161;VVI;RHE;7;17;1;2,3;5,2;
73;VVI;STR;3;8;1;0,7;1,9;
623;VVI;RER;1;71;1;0,6;2,9;
389;VVI;OMA;1;44;1;2,1;3,2;
71;VVI;STR;1;8;1;1,8;1,8;
314;VVI;MEB;4;35;2;2,9;5,6;
239;VVI;MEV;7;26;2;2,7;4,2;
624;VVI;RER;2;71;2;1,1;2;
155;VVI;RHE;1;17;2;1,3;3,9;
80;VVI;STR;10;8;2;0,9;1,9;
704;VVI;MGK;4;80;2;3,1;4,4;
548;VVI;JPK-132;4;62;2;2;3,2;
395;VVI;OMA;7;44;2;1;2,3;
473;VVI;JPK-87;7;53;2;5,5;5,5;
79;VVI;STR;9;8;3;1,1;1,9;
235;VVI;MEV;3;26;3;3,3;6,7;
390;VVI;OMA;2;44;3;1,2;2,8;
550;VVI;JPK-132;6;62;3;2,5;5,7;
156;VVI;RHE;2;17;3;0,6;1,7;
625;VVI;RER;3;71;3;1;3;
311;VVI;MEB;1;35;3;1,3;3;
705;VVI;MGK;5;80;3;2,2;3,3;
471;VVI;JPK-87;5;53;3;3,8;4;
703;VVI;MGK;3;80;4;2,5;3,5;
629;VVI;RER;7;71;4;1,7;1,9;
234;VVI;MEV;2;26;4;0,7;2,5;
160;VVI;RHE;6;17;4;1,8;2,8;
75;VVI;STR;5;8;4;1,1;1,9;
469;VVI;JPK-87;3;53;4;1;1,5;
546;VVI;JPK-132;2;62;4;1,6;4,2;
313;VVI;MEB;3;35;4;1;1,4;
392;VVI;OMA;4;44;4;2,8;3,6;
78;VVI;STR;8;8;5;1,4;2;
236;VVI;MEV;4;26;5;0,7;2,9;
312;VVI;MEB;2;35;5;1,1;3,3;
467;VVI;JPK-87;1;53;5;1;1,1;
158;VVI;RHE;4;17;5;0,8;2;
394;VVI;OMA;6;44;5;3,6;4;
545;VVI;JPK-132;1;62;5;2,7;4;
627;VVI;RER;5;71;5;1,5;2,9;
707;VVI;MGK;7;80;5;3,9;3,8;
702;VVI;MGK;2;80;6;0,7;2;
315;VVI;MEB;5;35;6;1,7;3,2;
628;VVI;RER;6;71;6;1,2;3,5;
393;VVI;OMA;5;44;6;2,7;3,9;
472;VVI;JPK-87;6;53;6;2,6;2,6;
547;VVI;JPK-132;3;62;6;2,1;3,1;
76;VVI;STR;6;8;6;1,2;1,4;
237;VVI;MEV;5;26;6;0,7;2;
157;VVI;RHE;3;17;6;1,1;1;
706;VVI;MGK;6;80;7;1,5;3,7;
159;VVI;RHE;5;17;7;0,5;2,5;
549;VVI;JPK-132;5;62;7;0,9;2,8;
391;VVI;OMA;3;44;7;1,3;3,6;
233;VVI;MEV;1;26;7;1,1;3;
74;VVI;STR;4;8;7;1,1;2,2;
626;VVI;RER;4;71;7;1,3;4,3;
470;VVI;JPK-87;4;53;7;0,9;1,3;
72;VVI;STR;2;8;8;0,7;2,1;
316;VVI;MEB;6;35;7;0,8;1,2;
77;VVI;STR;7;8;8;1,1;2,3;
